Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,severidad,hora,dia_semana,mes,fin_semana,Año,Mes,Mes_nombre,lat,lon
2024-08-23,A001651982,CARRERA 30 N-22A-20  -  LA ORQUIDEA REAL,LA ORQUIDEA REAL,2,1,HERIDOS,0,CHOQUE,0,0,Friday,8,0,2024,8,agosto,,
2024-08-29,A001651985,KILOMETRO 27+200 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,CHOQUE,0,0,Thursday,8,0,2024,8,agosto,,
2024-09-07,A001651987,CARRERA 23 N 11-05  - DORADO ALTO,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,9,1,2024,9,septiembre,,
2024-09-05,A001651986,CALLE 14 N.15-56  -  SIN INFORMACIÃ“N DEL BARRIO,SIN INFORMACIÓN,3,3,HERIDOS,0,CHOQUE,0,0,Thursday,9,0,2024,9,septiembre,,
2024-09-07,C-001588180,KILOMETRO 56+210 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,1,1,HERIDOS,0,ATROPELLO,0,0,Saturday,9,1,2024,9,septiembre,,
2024-09-11,C-001588186,KILOMETRO 46+650 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,CHOQUE,0,0,Wednesday,9,0,2024,9,septiembre,,
2024-09-15,A001651988,CARRERA 23 N 25-39  -  VILLA MAGALY,VILLA MAGALY,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,9,1,2024,9,septiembre,,
2024-09-15,A001651989,CARRERA 47 CALLE 18 -  SIN INFORMACIÃ“N DEL BARRIO SANTA ROSA,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,9,1,2024,9,septiembre,,
2024-09-22,A001651990,KILOMETRO 8+200 MTS VIA ESMERALDA -CHICHIMENE  -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Sunday,9,1,2024,9,septiembre,,
2024-09-25,A001651991,DIAGONAL 15 CARRERA 21 -  COOPERATIVO,COOPERATIVO,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,9,0,2024,9,septiembre,3.9876057,-73.7645413
2024-09-26,A001651992,CALLE 14 N 30 - 10  -  BACHUE,BACHUE,2,2,HERIDOS,0,CHOQUE,0,0,Thursday,9,0,2024,9,septiembre,,
2024-09-30,C-001589283,KILOMETRO 53+850 MTS   -  VÃA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,2,HERIDOS,0,CHOQUE,0,0,Monday,9,0,2024,9,septiembre,,
2024-10-06,A001651983,CARRERA 23 N.14-89  -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,10,1,2024,10,octubre,3.9876057,-73.7645413
2024-10-09,A001651994,CALLE 17 CARRERA 19 -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,0,0,Wednesday,10,0,2024,10,octubre,3.9919826,-73.7594884
2024-10-13,A001651996,CALLE 19 N.20 -36  -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,10,1,2024,10,octubre,3.9919826,-73.7594884
2024-10-14,A001651997,KILOMETRO 1+900 MTS   - VIA,SIN INFORMACIÓN,3,4,HERIDOS,0,CHOQUE,0,0,Monday,10,0,2024,10,octubre,,
